item_id,name,image_url,calories,fat,saturatedFat,transFat,cholesterol,sodium,carbohydrates,fiber,sugar,proteins,is_dummy
d4af986c-23e4-4568-b0a6-17effffc4296,Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/e8dfc0b5c84670d64195a6602ef7f99eb70fe764-1333x1333.png,485.215,21.705,9,0,70,583.475,46.92,1.975,8.63,30.5,False
WyAujkDbyd7SS90d4E3kO0,Value Hi-C Fruit Punch,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/06ba11805696e20db91f8c655526dd758b1c85cc-1333x1333.png,220,0,0,0,0,50,56,0,56,0,False
409f3dc8-2343-464b-acc5-28cd4092c5ea,Whopper Jr.,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/18a1f1e43d532819f6299006c79d19aed031af56-1333x1333.png,129.257,1.352,-0.5,0,-7.5,226.737,26.955,1.652,4.98,5.75,False
8dd28766-d7f0-4ee9-8806-85a9c3b3c787,Whopper Jr.,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/bc79aaf1b2b4da110261cdaae202766fbdedcbd4-1400x788.png,126.857,1.352,-0.5,0,-7.5,204.337,26.395,1.652,4.5,5.75,False
1829bfb5-4b88-4da4-8473-6bf03bba3432,Bacon Double Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/3dc8729db35e4905f577ba9af065662299415970-1333x1333.png,196.79,6.89,3,0,10,598.86,27.37,0.83,5.02,7.85,False
4c0e9e5f-bcc3-4a86-a2f5-3670a1708598,8 Pc. Chicken Nuggets,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/c9b464392dc47170833906e5956f40d3b9b811dc-1333x1333.png,390,25,5,0,55,990,23,2,0,18,False
picker_5530,Whopper Jr.,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/18a1f1e43d532819f6299006c79d19aed031af56-1333x1333.png,126.857,1.352,-0.5,0,-7.5,204.337,26.395,1.652,4.5,5.75,False
picker_5529,Bacon King,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/30233b5e1f56ff9dbd96645f3d865b4d765b6980-1333x1333.png,747.5,39.75,17,1,140,669.999,50.75,2,11,48,False
lXyLHRfR3ruSxzsSyar84C,Value Hi-C Pink Lemonade,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/26cbfde2aec5bee69530a22cfe787ea2cb24d772-1333x1333.png,190,0,0,0,0,130,47,0,47,0,False
cb0ffc77-ba93-47a4-8665-70a1bca458c8,Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/7fa2949dd40c2c22d0b6d194e5cbb26d733993f9-1333x1333.png,236.79,9.39,4,0,30,278.86,27.37,0.83,5.02,12.85,False
